gain,model,case,CPT,NRMS
L2,Actual,PC12,GLOBAL,0.0018433883705833343
L2,Linear,PC12,CPT2,0.008343344699957513
L2,Linear,PC12,CPT3,0.00233624372219401
L2,Linear,PC12,CPT4,0.0040653473589909546
L2,Linear,PC12,CPT5,0.002809976704643752
L2,Linear,PC12,CPT6,0.0018954551366891562
L2,Linear,PC12,CPT7,0.002185875927131035
L2,Linear,PC12,CPT8,0.004059187359998784
L2,Linear,PC12,CPT9,0.0035548934701338905
L2,Linear,PC12,CPT10,0.00489288424960334
L2,Linear,PC12,CPT11,0.006929026240094427
L2,Linear,PC12,CPT12,0.00331433636396413
L2,Linear,PC12,CPT13,0.00535937237046389
L2,Linear,PC12,CPT15,0.00305793181960449
L2,Linear,PC12,CPT16,0.00275697055311069
L2,Linear,PC12,GLOBAL,0.004332347333980691
L2,Quadratic,PC12,CPT2,0.00415996770897627
L2,Quadratic,PC12,CPT3,0.004013110248869148
L2,Quadratic,PC12,CPT4,0.001078178297960269
L2,Quadratic,PC12,CPT5,0.0007128854132385592
L2,Quadratic,PC12,CPT6,0.0014537349471403487
L2,Quadratic,PC12,CPT7,0.002568963507715726
L2,Quadratic,PC12,CPT8,0.004584836687603407
L2,Quadratic,PC12,CPT9,0.002044513028725936
L2,Quadratic,PC12,CPT10,0.003222695638495387
L2,Quadratic,PC12,CPT11,0.004238035160375383
L2,Quadratic,PC12,CPT12,0.001729450361037169
L2,Quadratic,PC12,CPT13,0.0033985926596368514
L2,Quadratic,PC12,CPT15,0.004324781557974753
L2,Quadratic,PC12,CPT16,0.0019532616720923926
L2,Quadratic,PC12,GLOBAL,0.0030597912345332228
M2,Actual,PC12,CPT2,0.004143584998261521
M2,Actual,PC12,CPT3,0.0022443203781599315
M2,Actual,PC12,CPT4,0.0009029143015251033
M2,Actual,PC12,CPT5,0.0007923668788007453
M2,Actual,PC12,CPT6,0.0010940394995966676
M2,Actual,PC12,CPT7,0.0013390569016679807
M2,Actual,PC12,CPT8,0.001591592716249521
M2,Actual,PC12,CPT9,0.001632927284715901
M2,Actual,PC12,CPT10,0.0012060577117145295
M2,Actual,PC12,CPT11,0.001399042921355945
M2,Actual,PC12,CPT12,0.0019590301592598757
M2,Actual,PC12,CPT13,0.003252419513076762
M2,Actual,PC12,CPT15,0.001864327165247896
M2,Actual,PC12,CPT16,0.0017112061398430651
M2,Actual,PC12,GLOBAL,0.00201308998856698
M2,Linear,PC12,CPT2,0.011348727256778003
M2,Linear,PC12,CPT3,0.002431949915086665
M2,Linear,PC12,CPT4,0.002759389064544895
M2,Linear,PC12,CPT5,0.0010215565063366066
M2,Linear,PC12,CPT6,0.0031997739347752333
M2,Linear,PC12,CPT7,0.004694116124113695
M2,Linear,PC12,CPT8,0.0017244186582023484
M2,Linear,PC12,CPT9,0.0026934248532684375
M2,Linear,PC12,CPT10,0.0013349195130799402
M2,Linear,PC12,CPT11,0.0034888563948058493
M2,Linear,PC12,CPT12,0.002591959885138156
M2,Linear,PC12,CPT13,0.0082382343271783
M2,Linear,PC12,CPT15,0.005040395615764185
M2,Linear,PC12,CPT16,0.002754589595351055
M2,Linear,PC12,GLOBAL,0.0047196531337310565
M2,Quadratic,PC12,CPT2,0.004803308805707328
M2,Quadratic,PC12,CPT3,0.00262855915405274
M2,Quadratic,PC12,CPT4,0.0013271544768659656
M2,Quadratic,PC12,CPT5,0.0011942897514372263
M2,Quadratic,PC12,CPT6,0.0019884695461568893
M2,Quadratic,PC12,CPT7,0.0015536650945911722
M2,Quadratic,PC12,CPT8,0.001606257201553297
M2,Quadratic,PC12,CPT9,0.00233935465894708
M2,Quadratic,PC12,CPT10,0.0018362620315718258
M2,Quadratic,PC12,CPT11,0.001845884242982625
M2,Quadratic,PC12,CPT12,0.0020611141916454605
M2,Quadratic,PC12,CPT13,0.0033130484132092865
M2,Quadratic,PC12,CPT15,0.0019412496474350027
M2,Quadratic,PC12,CPT16,0.0029029533929595666
M2,Quadratic,PC12,GLOBAL,0.0024164953610988976
H2,Actual,PC12,CPT2,0.006045237524345966
H2,Actual,PC12,CPT3,0.003108974053054383
H2,Actual,PC12,CPT4,0.0012020878604469148
H2,Actual,PC12,CPT5,0.001687660042651939
H2,Actual,PC12,CPT6,0.001317073468743113
H2,Actual,PC12,CPT7,0.001490053473172585
H2,Actual,PC12,CPT8,0.0025597998177204293
H2,Actual,PC12,CPT9,0.0020636918151407243
H2,Actual,PC12,CPT10,0.001688266206565546
H2,Actual,PC12,CPT11,0.001367452401345138
H2,Actual,PC12,CPT12,0.0017155220517104178
H2,Actual,PC12,CPT13,0.00463050166790366
H2,Actual,PC12,CPT15,0.0019688133485707437
H2,Actual,PC12,CPT16,0.0020378127100467293
H2,Actual,PC12,GLOBAL,0.0027209621470400164
H2,Linear,PC12,CPT2,0.010543709380769385
H2,Linear,PC12,CPT3,0.0034547785022805877
H2,Linear,PC12,CPT4,0.0038691478508290043
H2,Linear,PC12,CPT5,0.0030316305243811843
H2,Linear,PC12,CPT6,0.002146804643398848
H2,Linear,PC12,CPT7,0.005055020829549446
H2,Linear,PC12,CPT8,0.0029252799236203935
H2,Linear,PC12,CPT9,0.0034266633270590556
H2,Linear,PC12,CPT10,0.0021063061554630756
H2,Linear,PC12,CPT11,0.0027298582253013058
H2,Linear,PC12,CPT12,0.0028469626687367476
H2,Linear,PC12,CPT13,0.007024049639778989
H2,Linear,PC12,CPT15,0.002344136222380137
H2,Linear,PC12,CPT16,0.0021462632352437505
H2,Linear,PC12,GLOBAL,0.004508056095484795
H2,Quadratic,PC12,CPT2,0.007625354220651141
H2,Quadratic,PC12,CPT3,0.0033036143351631276
H2,Quadratic,PC12,CPT4,0.0023358240843249336
H2,Quadratic,PC12,CPT5,0.0019199494862339453
H2,Quadratic,PC12,CPT6,0.0016316120213966904
H2,Quadratic,PC12,CPT7,0.001505517858174922
H2,Quadratic,PC12,CPT8,0.0025601879217161164
H2,Quadratic,PC12,CPT9,0.002849388134187944
H2,Quadratic,PC12,CPT10,0.0019253646249260217
H2,Quadratic,PC12,CPT11,0.001999341870091252
H2,Quadratic,PC12,CPT12,0.002069360305820614
H2,Quadratic,PC12,CPT13,0.004855035183165315
H2,Quadratic,PC12,CPT15,0.002046731486209422
H2,Quadratic,PC12,CPT16,0.004732510107072544
H2,Quadratic,PC12,GLOBAL,0.0033763940774428317
L3,Actual,PC12,CPT2,0.0039062381774868466
L3,Actual,PC12,CPT3,0.0013111163845007398
L3,Actual,PC12,CPT4,0.0012761136266963749
L3,Actual,PC12,CPT5,0.0006784353207400472
L3,Actual,PC12,CPT6,0.0008847583675285779
L3,Actual,PC12,CPT7,0.0012895312406059941
L3,Actual,PC12,CPT8,0.001088892826092455
L3,Actual,PC12,CPT9,0.0017714412768957632
L3,Actual,PC12,CPT10,0.0008105033078801554
L3,Actual,PC12,CPT11,0.0007874987830762826
L3,Actual,PC12,CPT12,0.0017697010729398103
L3,Actual,PC12,CPT13,0.0017307920534422678
